"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"21",28118.339896838,28358.9362358163,28635.8453153168,28906.1928349041,29177.1812295534,29444.6502718386,29760.5390665037,29965.1456602535,30290.8080147753,30538.695726841,30812.9288119237,31090.3385003431,31330.2390258463,31602.6579125303
"22",28113.2675774579,28364.596049975,28649.1486618842,28944.2259522844,29190.3252668143,29466.9640689761,29740.2292387169,29989.6158842075,30254.1506418933,30545.1516992005,30816.9457737422,31066.2014246793,31351.1836399913,31588.8863909934
"23",28099.9220805135,28367.7470417147,28623.527742165,28921.2754234397,29224.9056383864,29450.3098190723,29727.7321744005,30003.6589958983,30235.3365876469,30549.1903317004,30807.6549180289,31050.1524924745,31333.6262680072,31632.1153938411
"24",28115.5941078808,28368.6485187222,28632.6691289822,28944.1091808118,29182.5456089682,29440.5419704868,29729.607596877,30016.020287322,30248.8242167305,30517.0211002489,30810.9762064287,31079.9850508,31328.4552501728,31616.3539882083
"25",28124.0161336295,28354.3533282999,28651.1981389627,28907.4623646086,29174.0264866764,29442.3343783139,29727.0811112507,29989.1627044232,30270.4365552099,30523.897871121,30779.1643333582,31059.0508879554,31359.9244358025,31570.7855990264
"26",28099.4711020597,28375.0973438961,28639.6302642001,28899.8395534146,29184.4826452819,29424.842142892,29730.1489097679,30031.3470326312,30253.3075445412,30536.5643487662,30823.6027073559,31105.5424091153,31344.0286965868,31606.4563694056
"27",28087.4128353308,28375.7384164339,28637.1594380362,28915.3593132426,29186.6917578038,29430.4067668701,29717.5382375615,30001.1565429125,30280.724164736,30548.7129947432,30811.8551305682,31051.7872858262,31336.7129643849,31600.982391595
"28",28126.7672467776,28395.104189651,28655.1610298225,28916.5961402038,29203.3069998879,29475.1784426813,29726.9727750637,30008.0540406453,30246.1895675402,30529.0776462697,30796.165236352,31056.4949872325,31371.4898613561,31606.5395515441
"29",28093.8188811741,28366.9628344179,28634.0259618398,28892.2163771946,29168.0024134567,29430.8805238246,29720.8906748945,29969.9136689083,30290.7981889496,30522.3227193404,30805.3509065935,31053.449814645,31361.6491000159,31600.5901890632
"30",28093.4080494208,28395.4179308537,28685.0842421939,28911.7478718089,29213.2669813764,29460.2485123761,29697.3254540264,29983.8899665291,30253.7589807551,30533.1921057219,30777.4666923505,31081.2283172853,31348.8317990307,31594.1942421961
"31",28141.4381426917,28386.1367080835,28655.5234560666,28926.0554134958,29173.429614745,29451.679519008,29718.8261004807,29982.6433339473,30248.10914097,30510.6408000609,30778.2320254664,31098.8445999243,31313.145102878,31629.370149167
"32",28095.5175101288,28368.7564402533,28646.0043343612,28916.7639588942,29169.6541454772,29423.3777743736,29702.1978771147,29994.7966535961,30289.0208973851,30534.4293051968,30808.445857836,31092.7871746528,31345.0970381783,31590.2180346973
"33",28078.8558242416,28390.0864318057,28623.7273467842,28945.7198537835,29187.5668784747,29459.5430937538,29697.1315479233,30018.4584618003,30272.1349725696,30544.2413180086,30793.8975635065,31094.640410721,31359.734081203,31602.3201587171
"34",28123.5584934518,28397.2100323558,28661.9494528404,28933.2484428456,29190.3368006496,29441.3238284999,29738.6978218342,30004.8208767445,30270.2481304249,30539.7335221457,30784.9999125409,31084.7819840307,31337.3927509896,31610.4446786831
"35",28087.4251696018,28394.9944444109,28648.8685876444,28917.212128574,29219.1575226567,29460.4651230816,29709.355206193,30002.9679590062,30256.3404832249,30523.6492324115,30798.3729175297,31096.5798338671,31352.6119921409,31581.6256588677
"36",28097.0464544075,28377.1726246179,28653.0560037442,28917.8912998976,29159.2054851373,29454.3644990441,29742.257674747,29989.1118823671,30244.3379582172,30553.9807955341,30806.2198348248,31088.0971540406,31337.7766133346,31615.1949959374
"37",28100.7480640035,28400.7943127293,28656.6312913,28912.4748450868,29164.1635393071,29464.695401588,29711.3028524373,29987.9670623212,30263.164501607,30543.0755033835,30802.6146392288,31099.621101276,31327.5918502433,31623.725736644
"38",28103.8434759104,28356.5026079406,28664.4093312042,28927.4727373805,29189.2974414261,29465.6589525219,29745.0414465361,29999.6499447308,30232.5108242435,30536.0219412205,30786.6372944874,31065.1308912918,31330.1625328615,31603.8717887558
"39",28095.9162779486,28364.2129367849,28647.6684959107,28908.096203567,29191.3380466395,29464.9948195462,29757.2191781769,29988.3882416483,30256.0074257022,30511.728381219,30786.9408220046,31066.5526689316,31326.5403567583,31624.7282038971
"40",28091.3442574777,28366.8066216317,28635.78789644,28922.0961960875,29182.9850328297,29463.4533477253,29709.4848936983,29993.2121400064,30290.5722355946,30535.3333220706,30794.2365617509,31054.0326658462,31345.7131495263,31629.8221356003
"41",28122.1436814197,28406.1023010675,28618.5360471838,28911.8596272281,29179.6647723998,29455.174106318,29707.2282401077,29991.4365998893,30245.8393367909,30528.0572665555,30805.2372124591,31104.2522539931,31347.2770677462,31633.2211719547
"42",28113.4124978196,28336.6321671365,28675.7879586916,28938.4811412456,29214.0586503325,29433.7252126108,29763.4096870092,29988.7276557366,30241.2901052579,30530.4754746279,30794.2087284457,31093.6986218983,31321.1888005462,31656.9717182763
"43",28091.6446421021,28363.384035191,28628.5599138335,28914.3637240702,29192.7198434347,29442.1344622175,29715.1453483815,29980.9715589446,30269.6188597857,30533.4216260403,30802.0701504115,31063.0523296561,31308.3362843303,31592.5090059649
"44",28096.9463639698,28359.5095020107,28649.1001800063,28896.1651010134,29168.8619162649,29448.6409196941,29740.4379378207,29974.7254393303,30274.3299451757,30531.3950340627,30811.1395444767,31054.6290588434,31352.1674209928,31653.5222818717
"45",28111.9476219125,28366.3766395293,28638.7218629064,28930.6958758981,29170.5391946563,29441.9225268599,29738.0492382001,29984.821099435,30257.5009911949,30529.8842378148,30799.9767261328,31088.1468612322,31328.5683903361,31591.4632286833
"46",28138.0551662744,28404.2284297847,28680.1080983756,28938.8232450472,29180.0240043086,29457.6495460772,29739.6325156158,29999.7527967753,30289.5013587135,30538.209189518,30803.2455376944,31080.8062977495,31335.8796581634,31633.3400794253
"47",28102.9710500929,28368.6669276171,28656.3267356456,28910.0333503326,29170.8331475861,29454.4973521607,29726.2956651731,29995.4713842314,30249.6111873073,30536.2462632213,30826.9808604329,31081.0761017252,31338.3069944704,31644.5532514959
"48",28091.5335441032,28372.5030557394,28651.0444883095,28916.3452808032,29154.3119619534,29437.4611029174,29717.7224167283,30024.3419927498,30239.5924359132,30526.0991223012,30816.0473272117,31081.0219986142,31323.9663263147,31619.0627778723
"49",28115.6933335979,28372.078129977,28618.4084127863,28923.7866152936,29181.3386200362,29446.2757559711,29714.8045092774,30018.4142836068,30251.5259975313,30521.0706197215,30806.8496811439,31043.7271723435,31351.2472958885,31640.8592525944
"50",28110.3068265509,28404.3981086912,28651.7144020122,28925.0151888426,29152.0031133591,29462.3541937708,29729.9879432737,30007.0882715535,30270.1299145345,30523.3445974059,30792.4618873088,31064.6874022636,31313.602402021,31599.8749399835
"51",28106.0824728501,28377.1048814241,28635.219150265,28944.6327800471,29176.279532757,29455.6787201093,29709.9054899594,29973.3273482339,30260.2417094595,30542.6474268435,30818.3195605945,31087.9110252962,31353.3471814,31605.3949593232
"52",28089.0063601694,28395.2170590922,28654.1298248448,28912.5114321613,29204.0909164406,29450.3938647345,29754.8260218959,30006.3032272434,30273.3598831999,30517.7559059227,30789.5851570943,31092.0112528819,31342.2378559033,31607.3792321102
"53",28104.9042751508,28351.1075778101,28643.2807790699,28952.8518813901,29188.178126266,29444.9399338109,29749.3487254776,29989.5466246694,30281.2173804216,30530.498657244,30829.8157693327,31093.2623063035,31343.6233668993,31625.9973495565
"54",28125.5580941904,28360.3028091761,28643.6884348176,28900.3629497956,29188.306943447,29454.8237084502,29734.6789157857,30034.8897323894,30285.736069169,30526.0855190995,30823.3536477949,31052.9691566743,31391.787445069,31617.5502860068
"55",28121.5712160055,28388.4228098698,28628.2322236368,28917.2314357158,29211.7554677549,29439.5761302991,29735.0396922725,30007.3971456643,30254.4140000331,30552.47700217,30793.692031552,31075.6240849656,31354.286398917,31619.5934947521
"56",28099.9931449328,28381.7128668097,28658.3511520622,28930.2060733914,29180.276903221,29463.0709303749,29727.0926045589,29967.981544215,30265.4819604815,30528.559171689,30822.2102523651,31085.7696294895,31340.3626499808,31621.0477898925
"57",28080.5745994367,28383.5175014427,28639.0960455933,28923.8641978011,29184.0595801763,29464.191760273,29714.4663278418,29981.030244393,30258.2920956849,30530.1432737224,30820.4984164137,31090.1253494411,31311.7839540436,31617.0777273768
"58",28120.3817460968,28383.4317542797,28655.3204378658,28936.5613897842,29195.619648897,29441.7724104302,29701.9608468137,29989.0742521104,30273.1245337823,30548.7708821864,30809.2437563149,31070.8179797321,31360.8310226724,31607.624311072
"59",28101.685041276,28383.2562157095,28638.0121106892,28914.3169620462,29211.2911958687,29451.6761884665,29702.9594343824,29983.3718166556,30224.5135826961,30538.0227597494,30793.7089378682,31101.6775466777,31313.6867621331,31610.9595777307
"60",28102.3316756524,28390.8647695827,28630.9962337499,28933.1606147035,29183.586685781,29448.511068721,29716.6722813225,30003.6987558537,30245.1673152644,30527.3789148076,30800.9316656853,31048.5561304882,31318.3034001993,31631.0135439334
"61",28102.285664424,28373.0131885503,28631.7675497538,28897.134977977,29165.5020097662,29431.0683192873,29708.0521601867,29970.2286509678,30257.1858897442,30540.8237346727,30787.8214578648,31083.7745053002,31332.1844670072,31604.7768869761
"62",28122.4740720822,28377.0261924708,28645.0330349317,28924.8590777845,29207.2862439445,29478.1533496862,29688.1091875858,29982.8621999713,30275.7538162403,30557.9007472399,30783.3753488062,31073.0652491528,31325.5894916985,31623.0338167908
"63",28091.8612837509,28391.535253668,28664.0242468392,28906.9575642411,29200.0394202791,29422.024698368,29744.5386694971,29969.0665093868,30294.496930634,30541.2914047119,30800.9865956943,31086.4100821626,31322.5483263446,31602.8564046024
"64",28073.8463661251,28368.6043461606,28631.3803697418,28904.3283030196,29181.263739668,29428.1760652958,29753.8422402815,29999.9328688032,30246.2049309856,30523.2389274807,30780.9966870339,31095.8772210492,31332.754240785,31629.5021182142
"65",28147.9981675652,28395.686998818,28676.9886282722,28932.4002361096,29186.81459146,29460.3202689997,29735.3518777099,30001.5752649248,30268.0239122953,30531.348586163,30818.5301791224,31054.4774431468,31345.618730352,31598.9384406212
"66",28101.0118110056,28367.3644556454,28636.149221917,28906.1452706224,29194.2578411321,29453.3197666558,29731.838957746,29963.8875969338,30244.8935000277,30521.398998173,30825.18635616,31063.5432434234,31340.207977836,31613.6510399347
"67",28103.8207793087,28406.8550587864,28619.6549142696,28915.3904618547,29205.0992343029,29461.4352780932,29721.4785825963,29998.8715317373,30259.0826112713,30540.5715629074,30789.9381021658,31043.7578828493,31344.0210081814,31601.9828297214
"68",28094.9371616833,28344.5240315536,28662.7069539793,28920.9855140258,29199.9088753414,29450.6467467393,29748.1638804609,30003.6027304878,30245.4986923768,30523.534391132,30805.6190041774,31076.0098670766,31335.2625181326,31648.6791334372
"69",28078.8659984773,28357.5598369623,28669.6732108533,28890.4151868464,29211.7459985119,29456.6297501457,29712.455733994,29976.2322960798,30246.0190520328,30537.2288236938,30783.2720738108,31067.82462901,31350.4575849467,31576.2619176147
"70",28120.7028771367,28376.0914747304,28677.4687673128,28903.6886402369,29206.3160206666,29460.4388766267,29719.5927585776,30005.082899938,30257.6424819025,30527.8434270705,30802.0203301669,31090.9537193229,31357.5852195614,31612.8112951742
"71",28134.0914763756,28396.5968340281,28666.5234799011,28918.840202604,29229.5335384612,29485.7999076492,29736.6172668924,29977.403551792,30260.3040580396,30544.6077259492,30777.2434429253,31080.2267980701,31367.1895672181,31603.5630413132
"72",28100.8804213733,28354.945586037,28643.2608962551,28914.0291826597,29173.75346852,29436.511225982,29748.8362397437,29974.4418447828,30214.4585963978,30548.7508584817,30832.3867871035,31072.7701417311,31336.8478188154,31588.3113800012
"73",28109.6752790864,28372.2153298084,28652.5465918645,28915.0119883234,29197.5014975602,29467.5347983396,29728.2882436998,29980.6317961115,30264.1828914846,30508.0171071271,30802.4263204233,31046.7439619317,31366.5915338861,31618.5243478276
"74",28079.889047007,28361.3770938599,28628.538078366,28939.9882674921,29184.4646808338,29454.1061032577,29722.6987634195,30017.0119348789,30265.9975394559,30546.986672272,30786.0056155364,31114.8067245257,31360.068721994,31612.7884207951
"75",28116.7498793486,28397.7332178147,28628.4929506719,28912.662806322,29213.3332718808,29448.4683656108,29720.4531516862,30013.4363153684,30247.9460553962,30507.822663804,30797.5126075077,31029.1008148546,31339.1479799885,31627.1214341014
"76",28109.1822937201,28391.7521982169,28631.9834536456,28902.8079201442,29183.8177814726,29449.1832594932,29758.4532869512,30003.1485578974,30251.6473550944,30532.3114166908,30782.1251645295,31101.7832288765,31375.9060868855,31624.2213311585
"77",28096.4961051259,28344.057955126,28628.7498999075,28893.0221343273,29229.1543286929,29439.2901431456,29708.6095939235,29993.5309148734,30259.4685823489,30531.7769050286,30791.3944397838,31098.6112453369,31341.4145452755,31618.0591109855
"78",28125.2618416012,28398.0195910198,28652.541430265,28921.211485534,29190.5119975201,29441.4927658469,29742.4691744895,29982.3979544318,30272.9422657247,30517.2387372775,30808.821413446,31084.6486115,31334.9437686131,31599.2210925059
"79",28091.8275732842,28377.3107156729,28643.136259499,28860.3510006001,29174.5202141744,29471.4456000388,29738.3731555536,30030.7252851596,30240.811268191,30549.4216332449,30758.8380266166,31084.7730701112,31353.4143448058,31660.0303575956
"80",28089.1293169136,28371.7510477791,28647.1173729544,28918.8433860283,29191.295600303,29464.9683493502,29742.996234089,30015.4824638852,30257.2256385663,30513.5778623607,30783.4862006166,31097.0748654053,31332.811226321,31606.2365562086
"81",28093.4565886083,28368.2456283079,28670.8215110215,28927.5161491973,29183.2324072337,29452.5580580254,29748.7358370324,30019.2201028147,30243.1486545301,30535.8624600651,30828.153053096,31042.4829719328,31326.7502406627,31604.7330043483
"82",28117.9588033188,28361.36427855,28630.3768476951,28918.8887313543,29187.848437073,29436.5488458088,29733.9504468451,30016.4679319603,30263.0470012886,30510.0676583545,30788.3471680023,31089.0716051802,31350.5634074503,31580.4580026013
"83",28130.6470861461,28349.8313320158,28657.1666678673,28913.5672264483,29171.3705109454,29447.277744317,29748.6548911924,30011.626532187,30283.8619863068,30542.4915960607,30779.0158367297,31102.7150458148,31345.6666841548,31621.7103109712
"84",28123.0348693851,28354.8693953121,28671.1115903107,28919.0312557127,29169.3992995903,29471.1571988227,29712.223147567,29975.7255547457,30268.9783572487,30537.8004864524,30807.788490013,31083.3633029511,31328.6339984072,31611.809296345
"85",28081.9589824291,28370.1931044954,28619.2803958116,28929.8277246274,29186.8611753444,29453.7366757542,29726.1913187094,29974.0219951888,30275.0194589175,30538.5048177673,30777.6141810459,31059.7406469561,31309.7039264845,31631.1365253634
"86",28093.8205673725,28355.6997265041,28656.9719629992,28935.636007967,29180.5319227101,29460.5828357885,29749.0967233122,29990.4560680364,30250.4954788915,30556.9656078855,30791.8205156705,31118.4489550233,31332.7977622817,31610.2765072674
"87",28101.7794038978,28366.9784670293,28682.4035598038,28897.7960657763,29202.1996220362,29450.1453170072,29730.5864070537,30001.8888510897,30257.9039977014,30548.2376866491,30806.8791891114,31044.5808528732,31354.3371541267,31609.0147456136
"88",28100.0170352935,28368.4641416944,28657.116625831,28927.5660706327,29166.9772186798,29424.6652409409,29712.0477322546,29994.8594013173,30259.5598962559,30522.3896118799,30814.4357183979,31088.2983108222,31350.341354375,31620.2847341124
"89",28121.3909697296,28375.0590137345,28648.2117943247,28920.847964617,29183.4927005951,29458.1432737392,29732.4940814197,29967.4380692622,30282.8824705172,30534.2417963763,30813.5246160794,31078.423234711,31346.7817133241,31603.6992109311
"90",28087.7456441782,28374.3398417694,28658.1063966743,28911.5329072621,29203.5737990172,29442.6019415642,29720.2687743843,29990.8179128938,30237.2195999149,30530.5973584471,30813.9540769844,31081.0879410929,31330.5752223027,31599.5864402029
"91",28101.1848843961,28374.4732195036,28636.463680239,28952.4361352713,29196.2052385031,29431.6773846235,29738.7352774529,29966.5833116272,30253.1008512178,30561.1402944503,30800.2464477454,31077.5618503455,31329.578657064,31612.6132970832
"92",28133.8216410444,28385.7623353874,28669.6925104937,28903.321303672,29205.9570140421,29467.8455195208,29709.9017606136,30000.5846847507,30258.1177328212,30554.863095486,30796.1552389459,31070.4136019877,31343.4597410543,31601.039692311
"93",28095.7213869907,28358.420922298,28650.2988143987,28928.2088861478,29151.5257131926,29452.7840756073,29724.651388866,30003.9251896756,30284.109680476,30538.1466181321,30810.1693599327,31070.6128801207,31348.1532330378,31624.1472709009
"94",28103.8889831618,28377.6279531368,28651.7582450185,28909.7490476891,29175.0219841185,29455.4119033347,29693.7987979087,30009.7795910485,30263.3747328678,30535.1665763424,30832.4020613227,31065.9055805707,31311.0886553693,31625.8680225902
"95",28108.1568436249,28368.8132717529,28632.2796142998,28891.5835303076,29151.7217331804,29435.7778167679,29713.4799378098,29989.031799728,30284.6501717017,30522.7523473458,30784.3840793365,31066.4203109564,31336.8637629452,31631.7021348054
"96",28126.8618389451,28378.197041529,28601.552975154,28924.8816582493,29212.4904511524,29471.9326840222,29708.5579080446,30003.7456858039,30265.3670574282,30558.6443373579,30789.0468919168,31074.339670396,31358.0334751271,31599.3849803335
"97",28109.7567422841,28386.6210344285,28613.9058781691,28927.3576255462,29190.9697470023,29417.4131516394,29728.5498583056,30013.647150223,30296.9831979135,30539.9707583907,30807.9730110956,31065.8604425154,31336.7724844598,31593.8616924891
"98",28095.465904174,28380.7951417986,28655.8654524395,28904.7688321329,29163.7112026504,29447.31078822,29726.319607079,29991.123251501,30267.3988387974,30560.5328740867,30817.9348055682,31097.8426725678,31351.0016193068,31605.9242353057
"99",28128.7833674956,28390.5067691103,28663.3047277546,28906.5367900236,29203.2315896348,29465.6331833832,29733.658009593,29994.944829147,30259.0354261483,30492.0253206433,30806.5934025513,31067.6602817051,31315.7283284122,31605.6022232643
"100",28113.6234558191,28376.063197231,28671.0886366495,28936.4857788806,29189.7776576914,29471.5981348696,29744.2896226157,30003.984111342,30268.003606711,30551.3543080343,30791.0932783761,31083.4793366943,31330.2414017765,31583.4599387771
