"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",4.8064451046455,4.79399551767556,4.83137382030708,4.80145199246771,4.84470976626814,4.89086580877298,4.78185953645118,4.85342610481753,4.76838199978824,4.77384794557082,4.79980212580192,4.75593076076385,4.77491736606129,4.79108848605712
"2",4.81214916680979,4.71889903778524,4.82163521022648,4.76069210955357,4.79361546545829,4.72497558542236,4.80176412505578,4.80597046991074,4.84760398881,4.81312789117507,4.79688813476374,4.83415564402989,4.84816506221436,4.79236865299605
"3",4.80520877271696,4.74421980194094,4.76073449389054,4.81236413516558,4.80272742744494,4.80327666101003,4.76997293247411,4.77885536307911,4.82773374102837,4.73592271679376,4.81339071622297,4.73481968964818,4.74819918619199,4.78579829018807
"4",4.87092994349377,4.78639309491978,4.78902343373391,4.85385566961179,4.74721449990375,4.78927351340616,4.80362111464545,4.78873458521938,4.8000718009652,4.80539041080125,4.80328322470285,4.79983377094032,4.77330659916918,4.76905137696044
"5",4.78843436415455,4.74536793144557,4.81064264102854,4.78929959254224,4.78355453425438,4.79950813699042,4.7448265501228,4.77720370987658,4.82391875986573,4.78777059887688,4.83831105332862,4.78012185497892,4.77838468277345,4.77958541299964
"6",4.76347616340385,4.84765320920852,4.74795633375455,4.79506013019046,4.8066390683995,4.7607425046461,4.8170013470831,4.78538849524661,4.76058043367061,4.79625723898075,4.78940263911184,4.78602590863491,4.77068712708049,4.74341670867579
"7",4.86591194267581,4.74832088021201,4.75443654889781,4.70764649487456,4.7797878677054,4.78154333859981,4.83714136941792,4.83676684148103,4.84164282017029,4.78018615590021,4.80825094262132,4.78902042714108,4.74642720949923,4.83581778940887
"8",4.80938900988406,4.80424478617057,4.76685450594254,4.78496260585044,4.76365853292012,4.74050959916061,4.78087595344187,4.86270552726174,4.8910772827789,4.76358265025653,4.82972529011593,4.83072241821865,4.71067441223681,4.76718147591279
"9",4.88327052435094,4.74228474742383,4.766397601171,4.82947564507745,4.8246719942902,4.80380992449538,4.81763458885799,4.74528823639731,4.75424569219837,4.84985852060283,4.81928458906739,4.83419233439638,4.82331058083729,4.7786062345557
"10",4.78711404767209,4.79300694941926,4.74672163099795,4.78192086081723,4.74916263112463,4.84034863820806,4.76842603202762,4.768542326555,4.8490018264858,4.73111220170546,4.84691043815468,4.73734234634861,4.81877740422587,4.75518791156912
"11",4.79452073225514,4.76425102691909,4.75114657210654,4.78465169841708,4.85235572995833,4.79867103376373,4.86751974269308,4.81150292341577,4.72149769207259,4.81174775082718,4.78067671596683,4.78995188731055,4.7885098864548,4.78000384633868
"12",4.77076157341438,4.79680161540049,4.74998408203254,4.7797552022697,4.75819678489478,4.74054502585404,4.75096580966111,4.84544034059317,4.83006681382462,4.7634317012862,4.75141118939955,4.88143053622361,4.8356759389436,4.74978859670421
"13",4.8022598336341,4.81047562258324,4.77802075507794,4.82216540373086,4.78425979130481,4.7183080047223,4.80625671238775,4.83971089056413,4.8019701725376,4.81501057931476,4.78959045098648,4.85347174216552,4.78587496509382,4.81031504153366
"14",4.83724466619376,4.80029144630217,4.81735901126663,4.79443587384142,4.83551481505646,4.81569775936504,4.76229853382137,4.82702039137795,4.74354828331504,4.78994454239807,4.82294474169518,4.77586172852886,4.73359278343247,4.75490511810987
"15",4.78072701924035,4.78731121985382,4.75010139174733,4.76100988581484,4.91320973527629,4.8004650969221,4.84012772713975,4.76486273028264,4.80724107710665,4.81906900935231,4.80531235110204,4.75721026058767,4.84922855720064,4.86005970412808
"16",4.79557745592836,4.80565605899564,4.84002602576448,4.82040676292806,4.83337339563823,4.8008094562311,4.75741106266129,4.78884698712744,4.80376765391093,4.87100335322426,4.8026178233178,4.80986591271684,4.78911241855397,4.8375699445311
"17",4.8170217155258,4.80174974759082,4.82229399441991,4.79515764614336,4.78038291203355,4.79714373385165,4.76272071980403,4.80485350559494,4.79083614546152,4.76897298212223,4.84156116785856,4.83970971638356,4.74783337948889,4.80003783835269
"18",4.84923511973563,4.73617762800876,4.76755392546761,4.75946211213795,4.74717138575273,4.79589610994074,4.77608518270456,4.81251152067254,4.7865860531215,4.75207048837384,4.83589871439233,4.81380389734036,4.77528960388586,4.83745737463206
"19",4.78137787035092,4.77102211532021,4.76524439623801,4.80992253667124,4.6952663939436,4.81685944894732,4.80747685372006,4.78750140490766,4.78301764496974,4.81619142067641,4.78304133819014,4.81355614201283,4.78378418944956,4.79977258680882
"20",4.79207048137212,4.79223651472189,4.80893155518289,4.74853351808444,4.79751730179899,4.79895964402388,4.77959972114876,4.80942317914746,4.80738598791987,4.86452937085217,4.69754635245367,4.80442238191265,4.77643099664467,4.8006216473229
"21",4.78259677128593,4.78714158148886,4.80741239028826,4.83988716261732,4.77271592435829,4.78856453244858,4.82304996747086,4.79407115930942,4.79317486413137,4.78302849713519,4.79302063447324,4.7912020177677,4.75322720658882,4.82424444516608
